Названия;Описание товара;в наличие товара;Ссылка на товар
Ноутбук Sony Vaio VPC-YB2L1R AMD Fusion E-350 2GB DDR3 320GB HDD серебристый;19750 сом;"Ноутбук Sony Vaio VPC-YB2L1R AMD Fusion E-350 2GB DDR3 320GB HDD серебристыйПроцессор: E-350
	Частота процессора: 1600 МГц
	Объем жесткого диска: 320 ГБ
	Диагональ экрана: 11.6 ""
	Видеокарта: ATI Radeon HD 6310M
	Вес: 1.46 кг
	Оптический привод: DVD нет
	Bluetooth: есть
	Wi-Fi: есть";На складе;https://www.kivano.kg/product/view/noutbuk-sony-vaio-vpc-yb2l1r-amd-fusion-e-350-2gb-ddr3-320gb-hdd-serebristyy
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR4 500GB HDD DOS Black;39940 сом;"Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR4 500GB HDD DOS BlackОперационная система DOS; 2х-ядерный процессор 1.2 Ггц; встроенная графика; экран 15.6"" TN HD; объем оперативной памяти 4 Гб; физическая память HDD 500 Гб; вес от 1.85 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-15iil-intel-core-i3-1005g1-4gb-ddr4-500gb-hdd-dos-black
Ноутбук Lenovo Ideapad 3 Intel Pentium 6405U 4GB DDR4 128GB SSD W10 черный;35360 сом;"Ноутбук Lenovo Ideapad 3 Intel Pentium 6405U 4GB DDR4 128GB SSD W10 черныйОперационная система Windows 10; 2х-ядерный процессор 2.4 ГГц; видеоадаптер встроенный; диагональ экрана 14"" TN 1366x768; объем оперативной памяти 4 Гб; накопитель SSD 128 Гб; вес от 1.85 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-3-intel-pentium-6405u-4gb-ddr4-128gb-ssd-w10-chernyy
Ноутбук Lenovo IdeaPad Slim 1-14AST-05 81VS AMD A4-9120e 4GB DDR 256GB SSD AMD Radeon R3 Graphics HD серый;28720 сом;"Ноутбук Lenovo IdeaPad Slim 1-14AST-05 81VS AMD A4-9120e 4GB DDR 256GB SSD AMD Radeon R3 Graphics HD серыйТип: ноутбук; Процессор: AMD A4-9120e; Разрешение экрана: 1366х768 HD; Графический контроллер: AMD Radeon R3 Graphics; Объем оперативной памяти: 4 Gb DDR; Объем накопителя SSD: 256 Gb; Вес: от 1.4 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-slim-1-14ast-05-81vs-amd-a4-9120e-4gb-ddr-256gb-ssd-amd-radeon-r3-graphics-hd-seryy
Ноутбук Asus X512D AMD Ryzen 5-3500U 12GB DDR4 512GB SSD FHD DOS/Linux Slate Grey;53880 сом;"Ноутбук Asus X512D AMD Ryzen 5-3500U 12GB DDR4 512GB SSD FHD DOS/Linux Slate GreyОперационная система DOS/Linux; 4х-ядерный процессор 2.1 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" IPS 1920x1080; объем оперативной памяти 12 Гб; накопитель SSD 512 Гб; вес от 1.68 кг";На складе;https://www.kivano.kg/product/view/noutbuk-asus-x512d-amd-ryzen-5-3500u-12gb-ddr4-512gb-ssd-fhd-dos-linux-slate-grey
Ноутбук Asus X509J Intel Core i5-1035G1 20GB DDR4 128GB SSD NVIDIA MX330 FHD DOS Transparent Silver;67880 сом;"Ноутбук Asus X509J Intel Core i5-1035G1 20GB DDR4 128GB SSD NVIDIA MX330 FHD DOS Transparent SilverОперационная система DOS; 4х-ядерный процессор 1.0 ГГц; видеоадаптер дискретный; диагональ экрана 15.6"" TN 1920x1080; объем оперативной памяти 20 Гб; накопитель SSD 128 Гб; вес от 1.8 кг";На складе;https://www.kivano.kg/product/view/noutbuk-asus-x509j-intel-core-i5-1035g1-20gb-ddr4-128gb-ssd-nvidia-mx330-fhd-dos-transparent-silver
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 500GB HDD DOS Black;41750 сом;"Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 500GB HDD DOS BlackОперационная система DOS; 2х-ядерный процессор 1.2 Ггц; встроенная графика; экран 15.6"" TN HD; объем оперативной памяти 8 Гб; физическая память HDD 500 Гб; вес от 1.85 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-15iil-intel-core-i3-1005g1-8gb-ddr4-500gb-hdd-dos-black
Ноутбук Asus X509JA Intel Core i3-1005G1 20GB DDR4 256GB SSD FHD DOS Grey;51310 сом-1%50870 сом;"Ноутбук Asus X509JA Intel Core i3-1005G1 20GB DDR4 256GB SSD FHD DOS GreyОперационная система DOS; 2х-ядерный процессор 1.2 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" TN 1920x1080; объем оперативной памяти 20 Гб; накопитель SSD 256 Гб; вес от 1.8 кг";На складе;https://www.kivano.kg/product/view/noutbuk-asus-x509ja-intel-core-i3-1005g1-20gb-ddr4-256gb-ssd-fhd-dos-grey
Ноутбук Asus X512D AMD Ryzen 5-3500U 20GB DDR4 512GB SSD FHD DOS/Linux Slate Grey;56460 сом;"Ноутбук Asus X512D AMD Ryzen 5-3500U 20GB DDR4 512GB SSD FHD DOS/Linux Slate GreyОперационная система DOS/Linux; 4х-ядерный процессор 2.1 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" IPS 1920x1080; объем оперативной памяти 20 Гб; накопитель SSD 512 Гб; вес от 1.68 кг";На складе;https://www.kivano.kg/product/view/noutbuk-asus-x512d-amd-ryzen-5-3500u-20gb-ddr4-512gb-ssd-fhd-dos-linux-slate-grey
Ноутбук Lenovo Ideapad 3 15IGL05 Intel Celeron N4120 4GB DDR4 128GB SSD DOS Platinum Grey;33550 сом;"Ноутбук Lenovo Ideapad 3 15IGL05 Intel Celeron N4120 4GB DDR4 128GB SSD DOS Platinum GreyОперационная система DOS; 4х-ядерный процессор 1.1 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" TN 1366x768; объем оперативной памяти 4 Гб; накопитель SSD 128 Гб; DVDRW нет; вес от 1.7 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-3-15igl05-intel-celeron-n4120-4gb-ddr4-128gb-ssd-dos-platinum-grey
Ноутбук Asus X509J Intel Core i5-1035G1 4GB DDR4 512GB SSD NVIDIA MX330 FHD DOS Transparent Silver;63590 сом;"Ноутбук Asus X509J Intel Core i5-1035G1 4GB DDR4 512GB SSD NVIDIA MX330 FHD DOS Transparent SilverОперационная система DOS; 4х-ядерный процессор 1.0 ГГц; видеоадаптер дискретный; диагональ экрана 15.6"" TN 1920x1080; объем оперативной памяти 4 Гб; накопитель SSD 512 Гб; вес от 1.8 кг";На складе;https://www.kivano.kg/product/view/noutbuk-asus-x509j-intel-core-i5-1035g1-4gb-ddr4-512gb-ssd-nvidia-mx330-fhd-dos-transparent-silver
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR4 1000GB HDD DOS Black;33630 сом;"Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR4 1000GB HDD DOS BlackОперационная система DOS; 2х-ядерный процессор 1.2 Ггц; встроенная графика; экран 15.6"" TN HD; объем оперативной памяти 4 Гб; физическая память HDD 1000 Гб; вес от 1.85 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-15iil-intel-core-i3-1005g1-4gb-ddr4-1000gb-hdd-dos-black
