Названия;Цена;Наличии
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR4 500GB HDD DOS Black;40020 сом;На складе
Ноутбук Lenovo Ideapad 3 Intel Pentium 6405U 4GB DDR4 128GB SSD W10 черный;35440 сом;На складе
Ноутбук Lenovo IdeaPad Slim 1-14AST-05 81VS AMD A4-9120e 4GB DDR 256GB SSD AMD Radeon R3 Graphics HD серый;28780 сом;На складе
Ноутбук Asus X512D AMD Ryzen 5-3500U 12GB DDR4 512GB SSD FHD DOS/Linux Slate Grey;54000 сом;На складе
Ноутбук Asus X509J Intel Core i5-1035G1 20GB DDR4 128GB SSD NVIDIA MX330 FHD DOS Transparent Silver;68040 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 500GB HDD DOS Black;41840 сом;На складе
Ноутбук Asus X509JA Intel Core i3-1005G1 20GB DDR4 256GB SSD FHD DOS Grey;50990 сом;На складе
Ноутбук Asus X512D AMD Ryzen 5-3500U 20GB DDR4 512GB SSD FHD DOS/Linux Slate Grey;56590 сом;На складе
Ноутбук Lenovo Ideapad 3 15IGL05 Intel Celeron N4120 4GB DDR4 128GB SSD DOS Platinum Grey;33630 сом;На складе
Ноутбук Asus X509J Intel Core i5-1035G1 4GB DDR4 512GB SSD NVIDIA MX330 FHD DOS Transparent Silver;63740 сом;На складе
Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 12GB DDR 500GB HDD Intel HD Graphics 620 HD черный;39590 сом;На складе
Ноутбук Asus FX505DT-HN482 AMD Ryzen 7-3750H 8GB DDR4 512GB SSD NVIDIA GTX1650 FHD DOS Gun Metal;80690 сом;На складе
Ноутбук Lenovo Ideapad 3 15IGL05 Intel Celeron N4120 4GB DDR4 480GB SSD DOS Platinum Grey;38470 сом;На складе
Ноутбук Asus X509J Intel Core i5-1035G1 8GB DDR4 512GB SSD NVIDIA MX330 FHD DOS Transparent Silver;65460 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 1000GB HDD DOS Black;42100 сом;На складе
Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 12GB DDR 500GB HDD + 128GB SSD Intel HD Graphics 620 HD черный;42610 сом;На складе
Ноутбук Asus FX505DT-HN482 AMD Ryzen 7-3750H 16GB DDR4 512GB SSD NVIDIA GTX1650 FHD DOS Gun Metal;84980 сом;На складе
Ноутбук Asus X509J Intel Core i5-1035G1 12GB DDR4 512GB SSD NVIDIA MX330 FHD DOS Transparent Silver;71060 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR4 128GB SSD DOS Black;41490 сом;На складе
Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 12GB DDR 500GB HDD + 256GB SSD Intel HD Graphics 620 HD черный;44510 сом;На складе
